,Unnamed: 0,USER,DataOra,S1Q01,S1Q018_AL,S1Q02,S1Q03,S1Q04,S1Q05,S1Q051_AL,S1Q061,S1Q06_P1,S1Q062,S1Q06_P2,S1Q063,S1Q06_P3,S1Q065,S1Q06_P5,S1Q067,S1Q06_P7,S1Q071,S1Q072,S1Q081,S1Q082,S1Q09_a,S1Q09_b,S2Q01_a_201501,S2Q01_a_201801,S2Q01_a_201502,S2Q01_a_201802,S2Q01_a_201503,S2Q01_a_201803,S2Q01_a_201504,S2Q01_a_201804,S2Q01_a_201505,S2Q01_a_201805,S2Q01_a_201506,S2Q01_a_201806,S2Q01_a_201507,S2Q01_a_201807,S2Q01_a_201508,S2Q01_a_201808,S2Q01_a_201509,S2Q01_a_201809,S2Q01_a_201510,S2Q01_a_201810,S2Q01_b_201511,S2Q01_b_201811,S2Q01_b_201512,S2Q01_b_201812,S2Q01_b_201513,S2Q01_b_201813,S2Q01_b_201514,S2Q01_b_201814,S2Q01_b_201515,S2Q01_b_201815,S2Q01_b_201516,S2Q01_b_201816,S2Q01_b_201517,S2Q01_b_201817,S2Q01_b_201518,S2Q01_b_201818,S2Q01_b_201519,S2Q01_b_201819,S2Q02_01,S2Q02_02,S2Q02_03,S2Q02_04,S2Q02_05,S2Q02_06,S2Q02_07,S2Q02_08,S2Q02_09,S2Q02_10,S2Q02_11,S3Q01_20151,S3Q01_20181,S3Q01_20152,S3Q01_20182,S3Q02_01,S3Q02_02,S3Q02_03,S3Q02_04,S3Q02_05,S3Q02_06,S3Q02_07,S3Q02_08,S3Q02_09,S3Q02_10,S3Q031,S3Q032,S3Q033,S3Q034,S3Q035,S3Q036,S3Q037,S3Q038,S3Q039,S3Q0310,S3Q0311,S3Q0311_AL,S4Q01,S4Q011_AL,S4Q021,S4Q022,S4Q023,S4Q024,S4Q025,S4Q026,S4Q031,S4Q032,S4Q033,S4Q034,S4Q034_AL,S4Q035,S4Q035_AL,S4Q041,S4Q042,S4Q043,S4Q044,S4Q045,S4Q046,S4Q047,S4Q047_AL,S4Q048,S4Q048_AL,S4Q051,S4Q052,S4Q053,S4Q054,S4Q055,S4Q055_AL,S4Q061,S4Q062,S4Q063,S4Q064,S4Q065,S4Q066,S4Q067,S4Q068,S4Q069,S4Q0610,S4Q0611,S4Q0612,S4Q0612_AL,S4Q06_mm,S4Q071,S4Q072,S4Q073,S4Q074,S4Q075,S4Q076,S4Q076_AL,S4Q08,S5Q0101,S5Q0110,S5Q0102,S5Q0103,S5Q0104,S5Q0111,S5Q0105,S5Q0106,S5Q0107,S5Q0109,S5Q0108,S5Q0108_AL,S5Q02,S5Q021_AL,S5Q022_AL,S5Q03,S5Q035_AL,S5Q04,S5Q05_a01,S5Q05_a02,S5Q05_a03,S5Q05_a04,S5Q05_a05,S5Q05_a06,S5Q05_a24,S5Q05_a07,S5Q05_a08,S5Q05_a09,S5Q05_a10,S5Q05_a11,S5Q05_a12,S5Q05_b13,S5Q05_b14,S5Q05_b15,S5Q05_b16,S5Q05_b17,S5Q05_b18,S5Q05_b19,S5Q05_b20,S5Q05_b21,S5Q05_b22,S5Q05_b23_AL,S5Q05_b23,OSSERVAZIONI,TIPOLOGIA_QUE
0,0,P100017,03/18/2019 15:30:14,1,0,TA,Pulsano,1970,1,1990,3,-5,3,-0.953237457,3,-5,3,-10,3,106.025026,18,8,90,10,977720,6,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1,2,2,2,2,3,3,2,4,2,2,2,2,2,2,78.07748911,84.65329721,175.735467,9.395216591,36.80782256,19.469849,9.075586762,8,0,235.1311812,172.3031003,0,0,641168.2937,128.095663,95.80344885,48.66056477,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,1,104.3478388,165.6927567,189.671157,11.64971705,11,73.74757201,253.6900359,6.716038257,231.4461684,50.50409332,0,1,lombardia,0,2,0,3,5,5,5,5,5,3,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,0,221.6395572,0,3
1,1,P100131,03/14/2019 16:42:53,1,0,FG,Isole Tremiti,1964,0,336.9421213,1,0.8,2,-0.953237457,2,179.5828297,2,125.9773282,1,24,20,20,87,13,1.28672E+14,5,4,4,4,4,4,4,2,4,1,5,3,5,4,4,1,4,1,4,1,5,1,4,1,3,1,4,1,4,1,2,1,4,1,2,1,5,1,2,5,5,4,3,4,3,5,5,5,5,4,2,4,2,4,5,5,4,5,3,5,5,3,4,5,1,84.65329721,175.735467,9.395216591,5,19.469849,9.075586762,160.4412122,0,235.1311812,172.3031003,0,0,641168.2937,128.095663,95.80344885,48.66056477,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,1,104.3478388,2,189.671157,11.64971705,147.3843982,73.74757201,253.6900359,6.716038257,231.4461684,50.50409332,0,1,tutte,0,5,Subacquea/storia ed ambiente natura,2,4,5,4,5,5,2,4,5,5,3,3,1,3,1,1,1,4,5,3,4,5,2,3,0,221.6395572,0,3
2,2,P100137,03/15/2019 22:02:06,1,0,FG,Isole Tremiti,1990,1,1990,2,127.7787826,2,-0.953237457,2,179.5828297,2,125.9773282,2,106.025026,4,4,70,30,1.28672E+14,3,3,3,2,2,2,2,3,3,2,2,3,3,3,3,4,4,2,2,1,1,2,2,1,1,4,4,3,3,3,3,2,2,1,1,3,3,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,4,78.07748911,84.65329721,175.735467,4,36.80782256,19.469849,7,160.4412122,0,235.1311812,172.3031003,0,0,641168.2937,128.095663,95.80344885,48.66056477,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,1,104.3478388,165.6927567,189.671157,4,147.3843982,73.74757201,253.6900359,6.716038257,231.4461684,50.50409332,0,1,VENETO LOMBARDIA EMILIA ROMAGNA TOSCANA MARCHE ALTRE,0,3,0,3,1,1,1,5,5,1,2,3,2,2,2,1,5,2,3,2,3,4,2,2,4,1,2,0,221.6395572,0,3
3,3,P100169,03/15/2019 16:36:00,2,0,TA,Ginosa,1993,1,1993,3,-10,3,-0.953237457,3,-10,3,-10,3,106.025026,2,2,90,10,1.28672E+14,1,1,2,1,2,1,2,1,2,1,2,1,2,3,2,2,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,2,3,3,3,2,2,3,2,3,2,2,3,3,2,3,3,3,3,3,1,84.65329721,175.735467,9.395216591,36.80782256,6,9.075586762,160.4412122,0,235.1311812,172.3031003,0,0,641168.2937,128.095663,95.80344885,48.66056477,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,40.66882653,104.3478388,165.6927567,189.671157,11.64971705,11,5,253.6900359,6.716038257,231.4461684,50.50409332,0,1,lazio,0,3,0,3,2,1,1,1,1,1,3,3,3,3,2,1,3,3,3,3,2,3,3,2,2,2,1,0,221.6395572,0,7
4,4,P100309,03/21/2019 08:13:47,1,0,FG,Mattinata,1990,0,336.9421213,2,127.7787826,2,-0.953237457,2,179.5828297,2,125.9773282,2,106.025026,4,4,70,30,1.28672E+14,3,5,5,5,5,5,5,3,3,3,3,5,5,5,5,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,3,3,3,3,3,3,1,1,3,3,5,5,5,5,5,5,5,5,1,3,3,3,3,5,5,5,5,5,4,4,4,4,5,1,84.65329721,175.735467,9.395216591,36.80782256,6,9.075586762,160.4412122,0,235.1311812,172.3031003,0,1,40,70,30,48.66056477,58.65470552,170.7126313,29.74889421,1,2,3,160.548363,0,214.7400769,0,1,2,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,1,104.3478388,165.6927567,189.671157,11.64971705,11,73.74757201,253.6900359,6.716038257,231.4461684,50.50409332,0,1,puglia,0,2,0,3,1,1,2,5,5,5,5,3,3,4,2,3,5,3,5,5,3,5,5,1,5,5,1,0,221.6395572,0,3
5,5,P100331,03/20/2019 16:09:54,2,0,FG,Vieste,1990,1,1990,2,127.7787826,2,-0.953237457,2,179.5828297,2,125.9773282,2,106.025026,1,678.6457537,98,2,1.28672E+14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,3,3,3,4,5,3,3,3,3,3,5,3,5,3,4,3,3,4,4,1,84.65329721,175.735467,4,36.80782256,19.469849,9.075586762,160.4412122,0,235.1311812,172.3031003,0,0,641168.2937,128.095663,95.80344885,48.66056477,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,1,10,165.6927567,189.671157,11.64971705,147.3843982,73.74757201,253.6900359,6.716038257,231.4461684,50.50409332,0,1,Veneto,0,3,0,3,2,2,3,4,5,4,3,4,3,2,1,1,5,2,5,4,3,3,2,3,5,5,3,0,221.6395572,0,11
6,6,P100333,03/07/2019 15:48,1,0,TA,Taranto,1986,0,336.9421213,2,127.7787826,2,-0.953237457,2,179.5828297,2,125.9773282,38.70258053,106.025026,12,0,75,25,1.28672E+14,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,5,4,4,4,4,4,4,3,3,3,3,4,4,4,5,5,4,5,5,4,4,3,3,3,3,3,5,4,5,5,4,4,5,4,3,5,78.07748911,84.65329721,3,9.395216591,5,19.469849,9.075586762,160.4412122,0,235.1311812,172.3031003,0,0,641168.2937,128.095663,95.80344885,48.66056477,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,40.66882653,104.3478388,165.6927567,189.671157,11.64971705,11,73.74757201,6,6.716038257,231.4461684,50.50409332,0,1,LOMBARDIA,0,1,0,3,4,4,5,3,3,3,5,5,5,5,4,4,4,4,4,4,3,4,4,3,3,3,3,0,221.6395572,0,2
7,7,P100491,03/14/2019 11:47:12,1,0,FG,Peschici,1992,1,1992,3,-10,2,0,2,0,2,0,2,0,130,125,90,10,1.28672E+14,8,3,5,3,4,3,5,2,5,2,4,5,3,1,5,1,5,1,4,1,5,1,5,2,4,5,5,3,4,5,5,3,3,3,3,3,3,5,5,4,4,3,4,4,5,4,5,3,5,5,3,3,3,3,4,5,3,3,5,4,4,4,2,3,1,84.65329721,175.735467,9.395216591,5,19.469849,9.075586762,160.4412122,0,235.1311812,172.3031003,0,0,641168.2937,128.095663,95.80344885,48.66056477,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,40.66882653,104.3478388,2,189.671157,11.64971705,11,73.74757201,253.6900359,6.716038257,231.4461684,50.50409332,0,1,lombardia,0,3,0,3,1,2,3,5,5,3,3,3,3,2,2,1,4,1,3,3,4,3,1,3,2,1,1,0,221.6395572,0,2
8,8,P100513,03/11/2019 09:21,1,0,TA,Taranto,2004,1,2004,2,127.7787826,2,-0.953237457,2,179.5828297,2,125.9773282,2,106.025026,3140,1020,63.80126291,82.63363467,1.28672E+14,5,5,5,4,5,5,5,5,5,5,5,3,5,4,5,3,5,3,5,3,4,3,5,3,4,3,4,4,4,3,3,4,4,3,3,3,3,4,4,4,3,5,5,5,4,5,5,5,5,5,3,4,3,4,4,4,4,5,5,5,5,4,4,4,78.07748911,84.65329721,3,9.395216591,36.80782256,6,9.075586762,160.4412122,0,235.1311812,172.3031003,0,0,641168.2937,128.095663,95.80344885,48.66056477,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,40.66882653,104.3478388,2,3,11.64971705,147.3843982,73.74757201,253.6900359,6.716038257,231.4461684,50.50409332,0,1,LOMBARDIA,0,1,0,3,3,3,3,2,4,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,0,221.6395572,0,2
9,9,P100579,03/18/2019 15:17:35,1,0,FG,Peschici,1955,1,1955,3,-40,3,-60,3,-20,3,-40,3,-40,6,6,40,60,1.28672E+14,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,1,1,5,5,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,5,5,5,5,5,5,5,5,3,3,3,3,5,3,5,5,3,5,5,5,5,5,1,84.65329721,175.735467,9.395216591,5,19.469849,9.075586762,160.4412122,0,235.1311812,172.3031003,0,0,641168.2937,128.095663,95.80344885,48.66056477,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,1,104.3478388,165.6927567,189.671157,4,147.3843982,73.74757201,253.6900359,6.716038257,231.4461684,50.50409332,0,2,0,Regno Unito,2,0,3,3,3,3,5,5,3,3,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,3,0,221.6395572,0,3
10,10,P100767,03/20/2019 11:43:58,1,0,LE,Castro,2001,1,2001,2,127.7787826,2,-0.953237457,2,179.5828297,2,125.9773282,2,106.025026,6,5,90,10,1.28672E+14,2,2,2,2,2,2,2,2,2,3,3,2,2,2,4,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,84.65329721,175.735467,4,36.80782256,19.469849,9.075586762,160.4412122,0,235.1311812,172.3031003,0,0,641168.2937,128.095663,95.80344885,48.66056477,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,40.66882653,104.3478388,165.6927567,189.671157,11.64971705,11,5,253.6900359,6.716038257,231.4461684,50.50409332,0,1,PUGLIA,0,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,221.6395572,0,3
11,11,P100849,03/15/2019 15:01:41,1,0,LE,Maglie,1030.192791,0,336.9421213,1,10,2,-0.953237457,2,179.5828297,1,20,1,106.025026,5,5,80,20,251987.31,4,5,5,5,5,5,5,5,5,2,2,3,3,5,5,5,5,1,1,4,4,5,5,4,4,3,3,4,4,4,4,1,2,1,1,1,1,1,1,2,2,3,3,4,4,5,5,4,4,3,3,3,3,3,5,5,3,4,4,4,5,3,3,3,1,2,175.735467,9.395216591,36.80782256,19.469849,9.075586762,160.4412122,0,235.1311812,172.3031003,0,1,641168.2937,30,95.80344885,20,50,170.7126313,29.74889421,1,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,5,Ampliamento copertura Wifi,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,6,61.28333068,9.069076014,9,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,1,104.3478388,2,189.671157,11.64971705,147.3843982,73.74757201,253.6900359,6.716038257,231.4461684,50.50409332,0,1,Puglia,0,2,0,3,1,1,1,4,5,5,5,5,4,4,4,3,5,3,3,5,5,3,3,4,4,4,3,0,221.6395572,0,3
12,12,p100997,03/21/2019 11:35:39,8,Campeggio,FG,Peschici,1963,0,336.9421213,2,127.7787826,2,-0.953237457,1,5,2,125.9773282,3,-3,25,23,82,18,1.28672E+14,8,3,5,2,4,2,2,2,3,1,1,3,3,1,1,3,5,1,1,1,1,3,5,1,1,1,1,2,3,3,3,1,1,1,1,1,1,1,1,3,1,3,3,4,2,3,5,3,3,3,3,3,3,3,3,4,1,4,4,4,3,3,3,2,78.07748911,84.65329721,175.735467,4,36.80782256,19.469849,7,160.4412122,0,235.1311812,172.3031003,0,0,641168.2937,128.095663,95.80344885,48.66056477,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,1,104.3478388,165.6927567,189.671157,11.64971705,147.3843982,5,253.6900359,6.716038257,231.4461684,50.50409332,0,1,lombardia,0,3,0,3,1,1,4,4,4,1,3,4,4,4,3,1,3,1,4,3,3,1,1,2,3,1,1,0,221.6395572,0,9
13,13,P101285,03/11/2019 17:10,1,0,LE,Melendugno,1959,1,1959,2,127.7787826,2,-0.953237457,2,179.5828297,2,125.9773282,2,106.025026,6,5,80,20,1.28672E+14,2,3,3,3,3,2,3,2,2,3,2,2,3,4,3,3,4,3,3,2,3,2,3,3,4,2,3,3,2,2,3,3,4,2,3,3,2,3,2,3,4,2,3,2,3,2,2,3,2,3,3,3,3,3,3,4,3,4,4,3,3,3,4,4,1,84.65329721,3,9.395216591,36.80782256,19.469849,9.075586762,160.4412122,0,235.1311812,172.3031003,0,0,641168.2937,128.095663,95.80344885,48.66056477,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,1,104.3478388,165.6927567,189.671157,11.64971705,147.3843982,5,253.6900359,6.716038257,231.4461684,50.50409332,0,1,puglia,0,3,0,3,2,2,2,3,4,2,4,5,4,5,3,3,4,3,4,2,2,4,3,2,5,5,4,0,221.6395572,0,3
14,14,P101363,03/09/2019 16:17,1,0,LE,Porto Cesareo,1978,1,1978,2,127.7787826,2,-0.953237457,2,179.5828297,3,-80,2,106.025026,5,4,40,60,1.28672E+14,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5,2,3,2,3,3,3,3,3,3,3,3,3,3,3,1,2,175.735467,9.395216591,36.80782256,19.469849,9.075586762,160.4412122,0,235.1311812,172.3031003,0,1,600,80,7,3,5,5,29.74889421,1,238.997732,115.0316019,160.548363,0,214.7400769,0,1,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,1,2,147.4085156,212.0578041,191.867707,0,1,153.9813491,108.8587729,4,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,1,2,3,173.247844,64.93560874,107.912886,0,0,1,10,165.6927567,189.671157,11.64971705,147.3843982,73.74757201,253.6900359,6.716038257,231.4461684,50.50409332,0,1,Lombardia,0,3,0,3,3,3,3,3,3,1,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,2,2,0,221.6395572,0,3
15,15,P101733,03/11/2019 09:17,1,0,BT,Trani,1030.192791,1,1974,2,127.7787826,2,-0.953237457,2,179.5828297,2,125.9773282,2,106.025026,4,1,70,30,1.28672E+14,2,3,3,3,3,4,4,4,4,3,3,3,3,5,5,3,3,3,3,3,3,3,3,5,5,5,5,5,5,2,2,2,2,2,2,4,4,2,2,5,4,4,4,4,2,3,4,4,4,4,3,3,2,2,3,1,3,4,4,4,4,4,4,4,78.07748911,2,175.735467,9.395216591,36.80782256,19.469849,9.075586762,160.4412122,0,235.1311812,172.3031003,0,0,641168.2937,128.095663,95.80344885,48.66056477,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,5.001545558,147.4085156,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,1,104.3478388,165.6927567,189.671157,11.64971705,147.3843982,5,253.6900359,6.716038257,231.4461684,50.50409332,0,1,campania,0,5,mista,3,3,3,3,3,3,3,4,4,4,4,3,4,4,5,5,5,3,3,3,3,3,3,3,0,221.6395572,0,3
16,16,P101915,03/15/2019 10:58:34,1,0,BR,Fasano,1030.192791,1,1979,3,-10,3,-12,2,179.5828297,2,125.9773282,3,106.025026,3,1,80,20,1.28672E+14,2,2,2,2,2,3,3,2,2,2,3,2,3,2,2,2,2,2,2,1,2,1,2,1,2,2,3,2,3,2,2,1,1,1,1,2,2,2,2,1,1,3,3,3,3,4,4,2,4,4,3,2,3,2,3,4,2,4,2,3,3,2,2,4,78.07748911,2,3,9.395216591,36.80782256,19.469849,9.075586762,160.4412122,0,235.1311812,172.3031003,0,1,10000,128.095663,50,50,58.65470552,170.7126313,29.74889421,62.74981592,238.997732,115.0316019,160.548363,0,214.7400769,0,1,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,206.1644736,2,3,212.0578041,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,140.3830503,172.0261263,61.28333068,9.069076014,173.5967113,146.8982401,132.7621144,0,0,230.4481029,216.6214529,106.9751012,115.4601284,173.247844,64.93560874,107.912886,0,0,1,104.3478388,165.6927567,189.671157,4,147.3843982,73.74757201,253.6900359,6.716038257,231.4461684,50.50409332,0,1,CAMPANIA,0,1,0,3,2,2,3,3,4,3,4,4,4,4,3,3,4,2,4,3,2,2,2,2,2,2,2,0,221.6395572,0,3
17,17,P102453,03/09/2019 12:40,1,0,LE,Otranto,2004,0,336.9421213,3,-10,3,-10,2,179.5828297,2,125.9773282,3,-15,17,15,50,50,680000,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,3,4,3,4,5,5,5,5,5,5,5,5,5,5,78.07748911,2,3,9.395216591,36.80782256,19.469849,9.075586762,160.4412122,0,235.1311812,172.3031003,0,1,30000,70,95.80344885,10,10,10,29.74889421,1,2,3,160.548363,0,214.7400769,0,80.53574506,173.2292263,5.924985374,95.77928309,44.37061779,0,188.8259389,0,111.4056155,0,1,2,147.4085156,4,191.867707,0,48.83371914,153.9813491,108.8587729,216.7893176,5,6,61.28333068,9.069076014,9,146.8982401,132.7621144,0,0,230.4481029,1,2,115.4601284,4,64.93560874,107.912886,0,0,40.66882653,104.3478388,2,189.671157,4,147.3843982,73.74757201,253.6900359,6.716038257,231.4461684,50.50409332,0,2,0,Belgio,2,0,3,3,3,4,4,5,5,5,5,4,4,4,3,4,5,5,5,5,4,3,3,4,3,3,0,221.6395572,0,3
